Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years (Individuals Vaccinated),45-60 Years (Individuals Vaccinated),60+ Years (Individuals Vaccinated),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
13/02/2021,Lakshadweep,1575,35,13,1575,0,,,,0,1575,,,,,,,,,1239,336,0
14/02/2021,Lakshadweep,1575,36,13,1575,0,,,,0,1575,,,,,,,,,1239,336,0
15/02/2021,Lakshadweep,1575,37,13,1575,0,,,,0,1575,,,,,,,,,1239,336,0
16/02/2021,Lakshadweep,1613,39,13,1594,19,,,,0,1594,,,,,,,,,1245,349,0
17/02/2021,Lakshadweep,1613,41,13,1594,19,,,,0,1594,,,,,,,,,1245,349,0
18/02/2021,Lakshadweep,1674,49,13,1623,51,,,,0,1623,,,,,,,,,1264,359,0
19/02/2021,Lakshadweep,1770,49,13,1689,81,,,,4,1685,,,,,,,,,1302,387,0
20/02/2021,Lakshadweep,1770,49,13,1689,81,,,,4,1685,,,,,,,,,1302,387,0
21/02/2021,Lakshadweep,1770,49,13,1689,81,,,,4,1685,,,,,,,,,1302,387,0
22/02/2021,Lakshadweep,1830,52,13,1748,82,,,,4,1744,,,,,,,,,1349,399,0
23/02/2021,Lakshadweep,1877,54,13,1771,106,,,,4,1767,,,,,,,,,1361,410,0
24/02/2021,Lakshadweep,1902,55,13,1796,106,,,,4,1792,,,,,,,,,1383,413,0
25/02/2021,Lakshadweep,1929,55,13,1822,107,,,,4,1818,,,,,,,,,1408,414,0
26/02/2021,Lakshadweep,1931,55,13,1824,107,,,,4,1820,,,,,,,,,1410,414,0
27/02/2021,Lakshadweep,1931,55,13,1824,107,,,,4,1820,,,,,,,,,1410,414,0
28/02/2021,Lakshadweep,1931,59,13,1824,107,,,,4,1820,,,,,,,,,1410,414,0
01/03/2021,Lakshadweep,1931,66,13,1824,107,,,,4,1820,,,,,,,,,1410,414,0
02/03/2021,Lakshadweep,1931,67,13,1824,107,,,,4,1820,,,,,,,,,1410,414,0
03/03/2021,Lakshadweep,1931,69,13,1824,107,,,,4,1820,,,,,,,,,1410,414,0
04/03/2021,Lakshadweep,1931,82,14,1824,107,,,,4,1820,,,,,,,,,1410,414,0
05/03/2021,Lakshadweep,1982,115,15,1856,126,,,,4,1852,,,,,,,,,1426,430,0
06/03/2021,Lakshadweep,2078,124,15,1939,139,,,,4,1935,,,,,,,,,1484,455,0
07/03/2021,Lakshadweep,2078,124,15,1939,139,,,,4,1935,,,,,,,,,1484,455,0
08/03/2021,Lakshadweep,2310,189,15,2121,189,,,,7,2114,,,,,,,,,1607,514,0
09/03/2021,Lakshadweep,1667,1000,10,1452,215,,,,0,1667,,,,,,,,,1254,413,0
10/03/2021,Lakshadweep,1854,500,5,1535,319,,,,0,1854,,,,,,,,,1409,445,0
11/03/2021,Lakshadweep,2056,900,9,1589,467,,,,0,2056,,,,,,,,,1585,471,0
12/03/2021,Lakshadweep,2275,1100,10,1605,670,,,,0,2275,,,,,,,,,1776,499,0
13/03/2021,Lakshadweep,2510,1000,10,1657,853,,,,0,2510,,,,,,,,,1962,548,0
14/03/2021,Lakshadweep,2541,0,0,1659,882,,,,0,2541,,,,,,,,,1990,551,0
15/03/2021,Lakshadweep,2717,1200,10,1727,990,,,,0,2717,,,,,,,,,2109,608,0
16/03/2021,Lakshadweep,3860,1000,10,2753,1107,,,,0,3860,,0,,,,1059,1136,558,2089,664,0
17/03/2021,Lakshadweep,4555,900,9,3420,1135,,,,0,4555,,0,,,,1069,1266,1085,2492,928,0
18/03/2021,Lakshadweep,4904,800,8,3617,1287,,,,0,4904,,0,,,,1102,1395,1120,2652,965,0
19/03/2021,Lakshadweep,5088,900,9,3735,1353,,,,0,5088,,0,,,,1139,1437,1159,2722,1013,0
20/03/2021,Lakshadweep,5387,1000,10,3915,1472,,,,0,5387,,0,,,,1218,1497,1200,2818,1097,0
21/03/2021,Lakshadweep,5394,0,0,3920,1474,,,,0,5394,,0,,,,1220,1500,1200,2822,1098,0
22/03/2021,Lakshadweep,5521,1000,10,4018,1503,,,,0,5521,,0,,,,1231,1543,1244,2881,1137,0
23/03/2021,Lakshadweep,5707,900,9,4145,1562,,,,0,5707,,0,,,,1260,1588,1297,2949,1196,0
24/03/2021,Lakshadweep,5826,800,8,4233,1593,,,,0,5826,,0,,,,1278,1620,1335,3007,1226,0
25/03/2021,Lakshadweep,5901,900,9,4277,1624,,,,0,5901,,0,,,,1289,1641,1347,3027,1250,0
26/03/2021,Lakshadweep,6053,800,8,4405,1648,,,,0,6053,,0,,,,1306,1675,1424,3098,1307,0
27/03/2021,Lakshadweep,6266,900,9,4601,1665,,,,0,6266,,0,,,,1315,1762,1524,3207,1394,0
28/03/2021,Lakshadweep,6333,200,2,4653,1680,,,,0,6333,,0,,,,1321,1795,1537,3231,1421,1
29/03/2021,Lakshadweep,6333,900,9,4653,1680,,,,0,6333,,0,,,,1321,1795,1537,3231,1421,1
30/03/2021,Lakshadweep,6552,1000,10,4804,1748,,,,0,6552,,0,,,,1342,1866,1596,3347,1456,1
31/03/2021,Lakshadweep,6824,1000,10,5034,1790,,,,0,6824,,0,,,,1370,1958,1706,3479,1554,1
01/04/2021,Lakshadweep,6953,1300,12,5156,1797,,,,0,6953,,0,,,,1375,2024,1757,3545,1610,1
02/04/2021,Lakshadweep,7168,1200,12,5365,1803,,,,0,7168,,0,,,,1380,2161,1824,3670,1694,1
03/04/2021,Lakshadweep,7399,1200,11,5578,1821,,,,0,7399,,0,,,,1384,2310,1884,3774,1803,1
04/04/2021,Lakshadweep,7746,1000,10,5912,1834,,,,0,7746,,0,,,,1396,2549,1967,3942,1969,1
05/04/2021,Lakshadweep,7993,1100,11,6130,1863,,,,0,7993,,0,,,,1398,2706,2026,4084,2045,1
06/04/2021,Lakshadweep,8434,1100,10,6501,1933,,,,0,8434,,0,,,,1398,2989,2114,4285,2215,1
07/04/2021,Lakshadweep,9484,1100,11,7379,2105,,,,0,9484,,0,,,,1406,3611,2362,4730,2648,1
08/04/2021,Lakshadweep,10621,1200,12,8312,2309,,,,0,10621,,0,,,,1418,4252,2641,5272,3039,1
09/04/2021,Lakshadweep,11527,1100,11,9063,2464,,,,0,11527,,0,,,,1423,4794,2845,5685,3376,2
10/04/2021,Lakshadweep,12707,1500,13,10150,2557,,,,0,12707,,0,,,,1428,5545,3176,6282,3866,2
11/04/2021,Lakshadweep,13223,1300,12,10630,2593,,,,0,13223,,0,,,,1431,5895,3303,6541,4087,2
12/04/2021,Lakshadweep,13791,1100,11,11139,2652,,,,0,13791,,0,,,,1436,6233,3469,6782,4355,2
13/04/2021,Lakshadweep,14389,1100,11,11691,2698,,,,0,14389,,0,,,,1437,6608,3645,7060,4629,2
14/04/2021,Lakshadweep,15275,1000,10,12470,2805,,,,0,15275,,0,,,,1439,7152,3878,7480,4987,3
15/04/2021,Lakshadweep,16053,1100,11,13174,2879,,,,0,16053,,0,,,,1446,7638,4089,7886,5284,4
16/04/2021,Lakshadweep,16446,1200,12,13529,2917,,,,0,16446,,0,,,,1463,7891,4174,8065,5460,4
17/04/2021,Lakshadweep,17145,1400,14,14161,2984,,,,0,17145,,0,,,,1480,8315,4365,8378,5780,3
18/04/2021,Lakshadweep,18013,1000,10,14933,3080,,,,0,18013,,0,,,,1510,8826,4596,8717,6213,3
19/04/2021,Lakshadweep,18439,1000,10,15300,3139,,,,0,18439,,0,,,,1517,9065,4717,8926,6371,3
20/04/2021,Lakshadweep,18894,1000,10,15609,3285,,,,0,18894,,0,,,,1537,9272,4799,9090,6516,3
21/04/2021,Lakshadweep,19750,1100,11,16225,3525,,,,0,19750,,0,,,,1561,9594,5069,9395,6827,3
22/04/2021,Lakshadweep,20140,1100,11,16523,3617,,,,0,20140,,0,,,,1568,9762,5192,9541,6979,3
23/04/2021,Lakshadweep,20544,1000,10,16836,3708,,,,0,20544,,0,,,,1606,9935,5294,9689,7144,3
24/04/2021,Lakshadweep,21022,1100,11,17253,3769,,,,0,21022,,0,,,,1624,10207,5421,9874,7376,3
25/04/2021,Lakshadweep,21363,1300,12,17538,3825,,,,0,21363,,0,,,,1657,10366,5514,10016,7519,3
26/04/2021,Lakshadweep,21732,1000,10,17843,3889,,,,0,21732,,0,,,,1683,10553,5606,10162,7678,3
27/04/2021,Lakshadweep,21928,1200,12,17998,3930,,,,0,21928,,0,,,,2210,10128,5660,10217,7779,2
28/04/2021,Lakshadweep,22090,1600,15,18120,3970,,,,0,22090,,0,,,,2222,10198,5700,10269,7849,2
29/04/2021,Lakshadweep,22410,1200,11,18386,4024,,,,0,22410,,0,,,,2253,10342,5791,10394,7990,2
30/04/2021,Lakshadweep,23024,1300,12,18888,4136,,,,0,23024,,0,,,,2305,10621,5962,10639,8247,2
01/05/2021,Lakshadweep,23444,2500,14,19170,4274,,,,0,23444,,0,,,,2317,10770,6083,10763,8405,2
02/05/2021,Lakshadweep,23634,2000,15,19319,4315,,,,0,23634,,0,,,,2332,10846,6141,10829,8488,2
03/05/2021,Lakshadweep,23908,2200,12,19460,4448,,,,0,23908,,0,,,,2349,10915,6196,10891,8567,2
04/05/2021,Lakshadweep,24226,1900,14,19666,4560,,,,0,24226,,0,,,,2370,11008,6288,10988,8676,2
05/05/2021,Lakshadweep,24766,2500,17,19872,4894,,,,0,24766,,0,,,,2381,11133,6358,11096,8774,2
06/05/2021,Lakshadweep,25040,1900,14,19986,5054,,,,0,25040,,0,,,,2399,11201,6386,11167,8817,2
07/05/2021,Lakshadweep,25396,2300,16,20131,5265,,,,0,25396,,0,,,,2421,11269,6441,11251,8878,2
08/05/2021,Lakshadweep,25693,12600,18,20240,5453,,,,0,25693,,0,,,,2424,11347,6469,11315,8923,2
09/05/2021,Lakshadweep,25943,6500,14,20307,5636,,,,0,25943,,0,,,,2439,11382,6486,11364,8941,2
10/05/2021,Lakshadweep,26489,2200,15,20513,5976,,,,0,26489,,0,,,,2444,11499,6570,11462,9049,2
11/05/2021,Lakshadweep,27372,2500,15,20885,6487,,,,0,27372,,0,,,,2507,11709,6669,11673,9210,2
12/05/2021,Lakshadweep,28102,2000,14,21348,6754,,,,0,28102,,0,,,,2547,11967,6834,11939,9407,2
13/05/2021,Lakshadweep,28229,1400,13,21428,6801,,,,0,28229,,0,,,,2560,12015,6853,11983,9443,2
14/05/2021,Lakshadweep,28241,2900,17,21440,6801,,,,0,28241,,0,,,,2560,12020,6860,11989,9449,2
15/05/2021,Lakshadweep,28258,1956,17,21452,6806,,,,0,28258,,0,,,,2561,12028,6863,11997,9453,2
16/05/2021,Lakshadweep,28282,1470,12,21472,6810,,,,0,28282,,0,,,,2577,12032,6863,12012,9458,2
17/05/2021,Lakshadweep,28390,1055,13,21562,6828,,,,0,28390,,0,,,,2610,12076,6876,12083,9477,2
18/05/2021,Lakshadweep,28703,1846,15,21866,6837,,,,0,28703,,0,,,,2676,12206,6984,12251,9613,2
19/05/2021,Lakshadweep,28943,1218,12,22086,6857,,,,0,28943,,0,,,,2707,12339,7040,12374,9710,2
20/05/2021,Lakshadweep,29039,1300,12,22167,6872,,,,0,29039,,0,,,,2724,12371,7072,12417,9748,2
21/05/2021,Lakshadweep,29532,4010,15,22620,6912,,,,0,29532,0,0,,,,3131,12407,7082,12726,9892,2
22/05/2021,Lakshadweep,30027,5659,19,23106,6921,,,,0,30027,0,0,,,,3581,12432,7093,12984,10120,2
23/05/2021,Lakshadweep,30955,3304,19,24029,6926,,,,0,30955,0,0,,,,4429,12489,7111,13472,10555,2
24/05/2021,Lakshadweep,31277,2346,12,24344,6933,,,,0,31277,0,0,,,,4636,12568,7140,13653,10689,2
25/05/2021,Lakshadweep,31319,1949,15,24384,6935,,,,0,31319,0,0,,,,4639,12588,7157,13674,10708,2
26/05/2021,Lakshadweep,31381,3304,17,24446,6935,,,,0,31381,0,0,,,,4666,12603,7177,13715,10729,2
27/05/2021,Lakshadweep,31425,3124,18,24487,6938,,,,0,31425,0,0,,,,4667,12627,7193,13732,10753,2
28/05/2021,Lakshadweep,31668,8840,17,24727,6941,,,,0,31668,0,0,,,,4883,12646,7198,13880,10845,2
29/05/2021,Lakshadweep,32136,25653,14,25192,6944,,,,0,32136,0,0,,,,5328,12664,7200,14160,11030,2
30/05/2021,Lakshadweep,32818,24260,13,25870,6948,,,,0,32818,0,0,,,,5987,12682,7201,14521,11347,2
31/05/2021,Lakshadweep,33636,23644,14,26687,6949,,,,0,33636,0,0,,,,6743,12735,7209,14936,11749,2
01/06/2021,Lakshadweep,34439,18331,13,27489,6950,,,,0,34439,0,0,,,,7504,12759,7226,15314,12173,2
02/06/2021,Lakshadweep,35167,11700,9,28215,6952,,,,0,35167,0,0,,,,8187,12797,7231,15675,12538,2
03/06/2021,Lakshadweep,36206,10810,9,29251,6955,,,,0,36206,0,0,,,,9174,12835,7242,16191,13058,2
04/06/2021,Lakshadweep,37342,11200,10,30378,6964,,,,0,37342,0,0,,,,10243,12878,7257,16769,13607,2
05/06/2021,Lakshadweep,38294,11550,10,31322,6972,,,,0,38294,0,0,,,,11121,12926,7275,17335,13985,2
06/06/2021,Lakshadweep,39071,13350,9,32096,6975,,,,0,39071,0,0,,,,11850,12954,7292,17712,14382,2
07/06/2021,Lakshadweep,40301,14920,10,33318,6983,,,,0,40301,0,0,,,,12985,13026,7307,18344,14972,2
08/06/2021,Lakshadweep,41455,12700,10,34466,6989,,,,0,41455,0,0,,,,14094,13061,7311,18921,15543,2
09/06/2021,Lakshadweep,42665,11580,10,35632,7033,,,,0,42665,0,0,,,,15179,13107,7346,19497,16133,2
10/06/2021,Lakshadweep,43565,12100,8,36523,7042,,,,0,43565,0,0,,,,16008,13155,7360,19916,16605,2
11/06/2021,Lakshadweep,44754,11370,10,37701,7053,,,,0,44754,0,0,,,,17128,13197,7376,20530,17169,2
12/06/2021,Lakshadweep,46083,10920,10,39006,7077,,,,0,46083,0,0,,,,18358,13243,7405,21174,17830,2
13/06/2021,Lakshadweep,46809,10800,9,39722,7087,,,,0,46809,0,0,,,,19049,13261,7412,21527,18193,2
14/06/2021,Lakshadweep,47816,10370,9,40722,7094,,,,0,47816,0,0,,,,20007,13291,7424,22065,18654,3
15/06/2021,Lakshadweep,48599,10300,9,41486,7113,,,,0,48599,0,0,,,,20686,13355,7445,22473,19010,3
16/06/2021,Lakshadweep,49904,9440,10,42783,7121,,,,0,49904,0,0,,,,21931,13394,7458,23098,19682,3
17/06/2021,Lakshadweep,50334,7110,9,43210,7124,,,,0,50334,0,0,,,,22311,13435,7464,23312,19895,3
18/06/2021,Lakshadweep,50773,7100,9,43642,7131,,,,0,50773,0,0,,,,22715,13454,7473,23547,20092,3
19/06/2021,Lakshadweep,51284,5640,10,44126,7158,,,,0,51284,0,0,,,,23139,13494,7493,23777,20346,3
20/06/2021,Lakshadweep,51507,6520,10,44347,7160,,,,0,51507,0,0,,,,23326,13519,7502,23878,20466,3
21/06/2021,Lakshadweep,52001,13620,9,44826,7175,,,,0,52001,0,0,,,,23765,13546,7515,24101,20722,3
22/06/2021,Lakshadweep,52459,11180,9,45234,7225,,,,0,52459,0,0,,,,24133,13578,7523,24308,20923,3
23/06/2021,Lakshadweep,52829,7320,9,45566,7263,,,,0,52829,0,0,,,,24410,13611,7545,24474,21089,3
24/06/2021,Lakshadweep,53150,7270,9,45834,7316,,,,0,53150,0,0,,,,24648,13627,7559,24608,21223,3
25/06/2021,Lakshadweep,53433,6370,9,46057,7376,29400,24030,3,0,53433,0,0,26624,16815,9994,,,,,,
26/06/2021,Lakshadweep,53736,7570,9,46253,7483,29547,24186,3,0,53736,0,0,26839,16884,10013,,,,,,
27/06/2021,Lakshadweep,53855,6680,9,46340,7515,29627,24225,3,0,53855,0,0,26925,16906,10024,,,,,,
28/06/2021,Lakshadweep,54138,5280,9,46494,7644,29786,24349,3,0,54138,0,1,27065,17014,10059,,,,,,
29/06/2021,Lakshadweep,54662,6170,9,46750,7912,30102,24557,3,0,54662,0,1,27393,17172,10097,,,,,,
30/06/2021,Lakshadweep,54700,6170,9,46779,7921,30124,24573,3,0,54700,0,1,27420,17179,10101,,,,,,
01/07/2021,Lakshadweep,54928,6500,10,46901,8027,30242,24683,3,0,54928,0,2,27540,17260,10128,,,,,,
02/07/2021,Lakshadweep,55294,10320,10,47042,8252,30453,24838,3,0,55294,0,3,27678,17427,10189,,,,,,
03/07/2021,Lakshadweep,55632,9300,10,47084,8548,30654,24975,3,0,55632,0,3,27725,17646,10261,,,,,,
04/07/2021,Lakshadweep,55674,9180,9,47084,8590,30686,24985,3,0,55674,0,3,27745,17666,10263,,,,,,
05/07/2021,Lakshadweep,56206,9180,9,47243,8963,30976,25227,3,0,56206,0,3,27909,17933,10364,,,,,,
06/07/2021,Lakshadweep,56755,9180,9,47468,9287,31263,25489,3,0,56755,0,3,28118,18194,10443,,,,,,
07/07/2021,Lakshadweep,57324,9180,9,47562,9762,31606,25714,4,0,57324,0,3,28228,18507,10589,,,,,,
08/07/2021,Lakshadweep,57844,9180,9,47717,10127,31878,25961,5,0,57844,0,3,28364,18773,10707,,,,,,
09/07/2021,Lakshadweep,58285,10200,10,47830,10455,32138,26142,5,0,58285,0,3,28494,19002,10789,,,,,,
10/07/2021,Lakshadweep,58606,9300,10,47936,10670,32313,26288,5,0,58606,0,3,28577,19176,10853,,,,,,
11/07/2021,Lakshadweep,58734,9180,9,47993,10741,32382,26347,5,0,58734,0,3,28624,19232,10878,,,,,,
12/07/2021,Lakshadweep,59081,6580,10,48058,11023,32598,26478,5,0,59081,0,3,28693,19449,10939,,,,,,
13/07/2021,Lakshadweep,59657,6502,10,48155,11502,32894,26758,5,0,59657,0,3,28788,19798,11071,,,,,,
14/07/2021,Lakshadweep,60568,7190,10,48684,11884,33341,27222,5,0,60568,0,3,28965,20274,11329,,,,,,
15/07/2021,Lakshadweep,61144,7200,9,48780,12364,33617,27522,5,0,61144,0,3,29061,20624,11459,,,,,,
16/07/2021,Lakshadweep,61637,5990,9,48893,12744,33836,27796,5,0,61637,0,3,29182,20875,11580,,,,,,
17/07/2021,Lakshadweep,61956,6480,9,48946,13010,33991,27960,5,0,61956,0,3,29251,21033,11672,,,,,,
18/07/2021,Lakshadweep,62021,6780,10,49004,13017,34032,27984,5,0,62021,0,3,29287,21061,11673,,,,,,
19/07/2021,Lakshadweep,62346,6580,10,49064,13282,34221,28120,5,0,62346,0,3,29354,21227,11765,,,,,,
20/07/2021,Lakshadweep,62715,6480,9,49196,13519,34436,28274,5,0,62715,0,3,29480,21376,11859,,,,,,
21/07/2021,Lakshadweep,62989,6480,9,49276,13713,34597,28387,5,0,62989,0,3,29571,21496,11922,,,,,,
22/07/2021,Lakshadweep,63093,2160,3,49304,13789,34654,28434,5,0,63093,0,3,29606,21538,11949,,,,,,
23/07/2021,Lakshadweep,63558,6680,10,49479,14079,34911,28642,5,0,63558,0,3,29778,21730,12050,,,,,,
24/07/2021,Lakshadweep,64080,6480,9,49638,14442,35192,28883,5,0,64080,0,3,29962,21953,12165,,,,,,
25/07/2021,Lakshadweep,64116,6480,9,49661,14455,35215,28896,5,0,64116,0,3,29984,21962,12170,,,,,,
26/07/2021,Lakshadweep,64502,6680,10,49794,14708,35399,29098,5,0,64502,0,3,30111,22132,12259,,,,,,
27/07/2021,Lakshadweep,65060,6480,9,49949,15111,35695,29360,5,0,65060,0,3,30290,22375,12395,,,,,,
28/07/2021,Lakshadweep,65418,0,0,50017,15401,35877,29536,5,0,65418,0,4,30364,22568,12486,,,,,,
29/07/2021,Lakshadweep,65707,6480,9,50094,15613,36022,29680,5,0,65707,0,4,30446,22682,12579,,,,,,
30/07/2021,Lakshadweep,65988,6520,10,50168,15820,36151,29832,5,0,65988,0,4,30521,22811,12656,,,,,,
31/07/2021,Lakshadweep,66209,6540,10,50238,15971,36258,29946,5,0,66209,0,5,30597,22891,12721,,,,,,
01/08/2021,Lakshadweep,66406,6480,9,50405,16001,36320,30081,5,0,66406,0,5,30605,22986,12815,,,,,,
02/08/2021,Lakshadweep,66642,6480,9,50484,16158,36442,30195,5,0,66642,0,5,30683,23087,12872,,,,,,
03/08/2021,Lakshadweep,66762,7200,10,50511,16251,36482,30275,5,0,66762,0,5,30709,23140,12913,,,,,,
04/08/2021,Lakshadweep,67032,7200,10,50596,16436,36635,30392,5,0,67032,0,5,30815,23252,12965,,,,,,
05/08/2021,Lakshadweep,67253,6480,9,50668,16585,36743,30505,5,0,67253,0,5,30885,23352,13016,,,,,,
06/08/2021,Lakshadweep,67491,7200,10,50772,16719,36878,30608,5,0,67491,0,5,30968,23459,13064,,,,,,
07/08/2021,Lakshadweep,67712,7200,10,50851,16861,36986,30721,5,0,67712,0,5,31042,23543,13127,,,,,,
08/08/2021,Lakshadweep,67913,6480,9,50962,16951,37089,30819,5,0,67913,0,6,31151,23600,13162,,,,,,
09/08/2021,Lakshadweep,68295,6800,11,51156,17139,37277,31013,5,0,68295,0,5,31333,23734,13228,,,,,,
10/08/2021,Lakshadweep,68589,6400,11,51295,17294,37449,31135,5,0,68589,0,5,31510,23821,13258,,,,,,
11/08/2021,Lakshadweep,68936,6600,10,51490,17446,37631,31300,5,0,68936,0,5,31660,23953,13323,,,,,,
12/08/2021,Lakshadweep,69092,6700,11,51543,17549,37712,31375,5,0,69092,0,6,31730,24015,13347,,,,,,
13/08/2021,Lakshadweep,69260,6600,10,51602,17658,37794,31461,5,0,69260,0,6,31809,24067,13384,,,,,,
14/08/2021,Lakshadweep,69553,6600,10,51678,17875,37963,31585,5,0,69553,0,6,31964,24159,13430,,,,,,
15/08/2021,Lakshadweep,69571,6600,10,51679,17892,37974,31592,5,0,69571,0,0,31978,24161,13432,,,,,,
16/08/2021,Lakshadweep,69911,6600,10,51757,18154,38159,31747,5,0,69911,0,0,32247,24203,13461,,,,,,
17/08/2021,Lakshadweep,70217,6480,9,51809,18408,38320,31892,5,0,70217,0,0,32446,24269,13502,,,,,,
18/08/2021,Lakshadweep,70626,6380,9,51869,18757,38514,32107,5,0,70626,0,0,32708,24355,13563,,,,,,
19/08/2021,Lakshadweep,70902,6580,10,51934,18968,38666,32231,5,0,70902,0,6,32889,24417,13596,,,,,,
20/08/2021,Lakshadweep,71057,6480,9,51953,19104,38754,32298,5,0,71057,0,0,32976,24467,13614,,,,,,
21/08/2021,Lakshadweep,71168,6480,9,51970,19198,38815,32348,5,0,71168,0,0,33071,24481,13616,,,,,,
22/08/2021,Lakshadweep,71427,6480,9,52015,19412,38972,32450,5,0,71427,0,6,33285,24516,13626,,,,,,
23/08/2021,Lakshadweep,71915,6480,9,52100,19815,39240,32670,5,0,71915,0,6,33641,24602,13672,,,,,,
24/08/2021,Lakshadweep,72360,6600,10,52151,20209,39491,32864,5,0,72360,0,6,34009,24661,13690,,,,,,
25/08/2021,Lakshadweep,72944,6580,10,52229,20715,39798,33141,5,0,72944,0,7,34484,24735,13725,,,,,,
26/08/2021,Lakshadweep,73651,6480,9,52306,21345,40164,33482,5,0,73651,0,7,35019,24852,13780,,,,,,
27/08/2021,Lakshadweep,74309,6480,9,52370,21939,40477,33827,5,0,74309,0,7,35518,24969,13822,,,,,,
28/08/2021,Lakshadweep,74966,6480,9,52457,22509,40803,34158,5,0,74966,0,7,36095,25032,13839,,,,,,
29/08/2021,Lakshadweep,75648,6480,9,52501,23147,41223,34420,5,0,75648,0,7,36592,25154,13902,,,,,,
30/08/2021,Lakshadweep,75891,6500,9,52520,23371,41346,34540,5,0,75891,0,7,36767,25197,13927,,,,,,
31/08/2021,Lakshadweep,76411,6480,9,52598,23813,41605,34801,5,0,76411,0,7,37188,25270,13953,,,,,,
01/09/2021,Lakshadweep,76994,6480,9,52684,24310,41882,35107,5,0,76994,0,7,37679,25336,13979,,,,,,
02/09/2021,Lakshadweep,77673,6580,10,52734,24939,42222,35446,5,0,77673,0,8,38228,25430,14015,,,,,,
03/09/2021,Lakshadweep,78408,6630,10,52834,25574,42620,35783,5,0,78408,0,8,38844,25520,14044,,,,,,
04/09/2021,Lakshadweep,78874,6580,10,52884,25990,42869,36000,5,0,78874,0,8,39241,25567,14066,,,,,,
05/09/2021,Lakshadweep,79074,6480,9,52921,26153,43001,36068,5,0,79074,0,8,39417,25584,14073,,,,,,
06/09/2021,Lakshadweep,79946,7420,10,53029,26917,43432,36509,5,0,79946,0,8,40156,25670,14120,,,,,,
07/09/2021,Lakshadweep,80578,6480,9,53085,27493,43753,36820,5,0,80578,0,8,40704,25728,14146,,,,,,
08/09/2021,Lakshadweep,81790,6500,10,53191,28599,44355,37430,5,0,81790,0,8,41518,26040,14232,,,,,,
09/09/2021,Lakshadweep,82803,20080,9,53308,29495,44856,37942,5,0,82803,0,8,42375,26144,14284,,,,,,
10/09/2021,Lakshadweep,83654,20105,10,53365,30289,45296,38353,5,0,83654,0,9,43051,26264,14339,,,,,,
11/09/2021,Lakshadweep,85190,20105,10,53572,31618,46028,39157,5,0,85190,0,9,44319,26444,14427,,,,,,
12/09/2021,Lakshadweep,86806,20080,9,53750,33056,46752,40049,5,0,86806,0,0,45664,26628,14514,,,,,,
13/09/2021,Lakshadweep,87842,20080,9,53893,33949,47246,40591,5,0,87842,0,9,46532,26732,14578,,,,,,
14/09/2021,Lakshadweep,88720,20080,9,53956,34764,47664,41051,5,0,88720,0,9,47087,26926,14707,,,,,,
15/09/2021,Lakshadweep,89430,20080,9,54019,35411,48038,41387,5,0,89430,0,10,47663,27010,14757,,,,,,
16/09/2021,Lakshadweep,90228,12280,9,54130,36098,48449,41774,5,0,90228,0,10,48337,27097,14794,,,,,,
17/09/2021,Lakshadweep,90667,10980,9,54183,36484,48679,41983,5,0,90667,0,10,48718,27141,14808,,,,,,
18/09/2021,Lakshadweep,91265,10500,10,54310,36955,48994,42266,5,0,91265,0,10,49193,27228,14844,,,,,,
19/09/2021,Lakshadweep,91478,9260,8,54337,37141,49117,42356,5,0,91478,0,10,49300,27302,14876,,,,,,
20/09/2021,Lakshadweep,92253,10710,11,54427,37826,49504,42744,5,0,92253,0,10,49922,27404,14927,,,,,,
21/09/2021,Lakshadweep,92891,11080,10,54481,38410,49839,43047,5,0,92891,0,10,50444,27479,14968,,,,,,
22/09/2021,Lakshadweep,93454,10480,9,54560,38894,50118,43331,5,0,93454,0,10,50898,27542,15014,,,,,,
23/09/2021,Lakshadweep,93890,10980,9,54576,39314,50334,43551,5,0,93890,0,10,51240,27601,15049,,,,,,
24/09/2021,Lakshadweep,94130,10980,9,54593,39537,50469,43656,5,0,94130,0,10,51435,27627,15068,,,,,,
25/09/2021,Lakshadweep,94740,11070,10,54687,40053,50775,43960,5,0,94740,0,10,51957,27683,15100,,,,,,
26/09/2021,Lakshadweep,94920,10980,9,54728,40192,50864,44051,5,0,94920,0,10,52096,27717,15107,,,,,,
27/09/2021,Lakshadweep,95642,10980,9,54767,40875,51213,44424,5,0,95642,0,10,52654,27821,15167,,,,,,
28/09/2021,Lakshadweep,95869,10980,9,54776,41093,51312,44552,5,0,95869,0,10,52849,27838,15182,,,,,,
29/09/2021,Lakshadweep,96158,10790,9,54806,41352,51436,44717,5,0,96158,0,10,53043,27901,15214,,,,,,
30/09/2021,Lakshadweep,,,,,,,,,,,,,,,,,,,,,
01/10/2021,Lakshadweep,,,,,,,,,,,,,,,,,,,,,
02/10/2021,Lakshadweep,,,,,,,,,,,,,,,,,,,,,
03/10/2021,Lakshadweep,,,,,,,,,,,,,,,,,,,,,
04/10/2021,Lakshadweep,,,,,,,,,,,,,,,,,,,,,
